,sona,subject,set,Q1 Median,Q2 Median,Q3 Median,Q1,Q2,Q3,Q1 Mean,Q2 Mean,Q3 Mean,Q1 responses,Q2 responses,Q3 responses,Q1 RT,Q2 RT,Q3 RT,subject_gender,subject_age,understood task
54,36018,SSSQ0064,0 1 4 5 8,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.142857142857143,3.4285714285714284,3.7142857142857144,7,7,7,3210.0,416.0,271.0,Female,20,False
55,36018,SSSQ0064,0 1 4 6 9,4.0,4.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.6666666666666665,4.0,3.8333333333333335,6,6,6,5552.0,323.0,360.5,Female,20,False
56,36018,SSSQ0064,0 2 3 4 6,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.25,3.5,4.125,8,8,8,698.0,393.5,491.0,Female,20,False
57,36018,SSSQ0064,0 2 3 4 7,3.0,3.0,3.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.25,3.625,3.5,8,8,8,1056.0,320.5,502.5,Female,20,False
58,36018,SSSQ0064,0 2 3 5 7,4.0,4.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.7142857142857144,3.857142857142857,4.0,7,7,7,1811.0,444.0,516.0,Female,20,False
59,36018,SSSQ0064,0 2 3 6 9,3.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.2222222222222223,3.4444444444444446,3.4444444444444446,9,9,9,1969.0,805.0,468.0,Female,20,False
60,36018,SSSQ0064,0 2 3 7 8,4.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.8,3.5,3.9,10,10,10,1384.0,237.5,312.5,Female,20,False
61,36018,SSSQ0064,0 2 4 5 8,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.3333333333333335,3.111111111111111,3.7777777777777777,9,9,9,3387.0,336.0,300.0,Female,20,False
62,36018,SSSQ0064,0 2 5 6 9,3.0,4.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.4285714285714284,3.5714285714285716,3.7142857142857144,7,7,7,1604.0,387.0,453.0,Female,20,False
63,36018,SSSQ0064,0 3 4 5 6,3.5,4.0,3.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.5,4.0,3.5,6,6,6,924.5,368.5,293.5,Female,20,False
64,36018,SSSQ0064,0 3 4 6 7,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.5714285714285716,3.2857142857142856,3.7142857142857144,7,7,7,1380.0,342.0,290.0,Female,20,False
65,36018,SSSQ0064,0 3 5 6 8,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.5555555555555554,3.4444444444444446,3.7777777777777777,9,9,9,1227.0,365.0,328.0,Female,20,False
66,36210,SSSQ0113,0 1 2 3 5,3.5,2.5,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.4,2.5,3.1,10,10,10,561.5,117.0,214.0,Female,20,True
67,36210,SSSQ0113,0 1 2 3 6,3.5,3.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.4,2.9,3.2,10,10,10,875.0,217.5,265.0,Female,20,True
68,36210,SSSQ0113,0 1 2 4 6,3.5,3.5,2.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.5,3.5,2.4,10,10,10,778.5,378.5,414.5,Female,20,True
69,36210,SSSQ0113,0 1 2 4 8,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.3,2.7,3.8,10,10,10,855.0,280.5,255.0,Female,20,True
70,36210,SSSQ0113,0 1 3 4 6,2.5,3.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.9,3.1,3.1,10,10,10,792.5,229.5,289.5,Female,20,True
71,36210,SSSQ0113,0 1 3 5 6,3.0,3.0,2.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,3.3,2.9,10,10,10,625.0,343.5,274.5,Female,20,True
72,36210,SSSQ0113,0 1 4 6 7,2.0,3.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,2.4,3.3,2.8,10,10,10,892.0,329.0,261.5,Female,20,True
73,36210,SSSQ0113,0 1 4 7 8,3.5,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,3.4,3.0,10,10,10,708.0,305.0,348.5,Female,20,True
74,36210,SSSQ0113,0 1 5 6 8,3.0,3.0,2.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,2.6,3.1,10,10,10,827.5,334.0,387.5,Female,20,True
75,36210,SSSQ0113,0 2 3 4 5,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,2.9,3.6,10,10,10,515.5,261.5,397.5,Female,20,True
76,36210,SSSQ0113,0 2 3 5 7,3.0,3.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,2.8,3.2,10,10,10,825.0,264.0,211.0,Female,20,True
